346F3,348F3,bcutv8,GATSp5,GATSp7,GATSp6,GATSp8,Tac,bcutm8,ATSp8,SIC3,Shet,S9,MATSe6,GATSe7,bcutp10,MATSv7,MATSv6,GATSe8,GATSe6,Rpc,MATSm7,Smax11,DS,Smin16,S17,GATSm6,QHss,VSAEstate8,GATSm7,IC3,Smin8,label
-4.76,2.131,1.287,1.284,0.366,2.263,0,2.711,1.722,0,0.923,26.677,0.383,-0.839,3.427,1.666,-0.229,-1.166,0,2.617,0.236,0.058,1.935,11.446,0.984,2.037,1.537,0.138,31.732,0.008,4.176,0.383,0
-4.76,2.131,1.756,1.247,0.999,1.097,0.89,4.255,1.852,1.114,0.907,65.299,-0.274,-0.075,0.995,1.705,0.113,-0.065,1.192,1.177,0.151,0.179,1.138,12.046,-0.513,-0.907,1.172,0.137,64.5,0.997,4.31,-0.274,0
-4.76,2.131,1.298,0.913,1.825,1.087,2.476,3.039,1.723,1.491,0.842,24.233,0.351,-0.212,1.8,1.757,-0.547,-0.24,2.556,0.996,0.211,-0.523,1.947,11.352,1.046,1.046,1.002,0.149,37.167,1.802,4.004,0.351,0
-4.76,2.131,1.265,1.319,0.781,1.354,1.812,3.598,1.452,0.974,0.918,36.115,2.514,-0.539,0.897,1.662,0.159,-0.513,2.077,1.375,0.178,0.063,0,11.196,0,0,1.375,0.173,37.5,0.887,4.316,0.454,0
-4.76,2.131,1.557,1.31,1.878,1.321,1.257,3.426,1.738,0.788,0.969,40.72,0.179,-0.281,2.035,1.793,-0.507,-0.233,1.343,1.347,0.187,-0.454,1.66,14.093,-0.35,0.363,1.213,0.169,33.638,2.003,4.607,0.179,0
-4.76,2.131,1.244,1.204,2.416,1.675,0.139,2.997,1.723,0.254,0.863,37.518,0.183,-0.574,2.802,1.728,-0.581,-0.623,0.318,1.62,0.216,-0.707,1.531,13.838,-0.345,0.363,1.477,0.137,30.219,3.131,4.056,0.183,0
-4.76,2.131,1.287,1.216,1.679,1.503,1.567,3.622,1.722,1.241,0.814,60.772,0.007,-0.569,1.636,1.69,-0.725,-0.627,1.822,1.43,0.23,-0.628,1.228,16.573,-0.764,-0.303,1.311,0.138,21.509,1.595,3.825,0.007,0
-4.76,2.131,1.472,1.354,0.749,1.359,1.367,4.306,1.727,1.371,0.858,37.92,2.438,-0.493,0.707,1.711,0.211,-0.505,1.414,1.329,0.149,0.225,0,11.249,0,0,1.333,0.231,38.667,0.706,4.168,0.454,0
-4.76,2.131,1.29,1.404,1.61,1.778,0.307,3.486,1.724,1.111,0.869,29.434,0.333,-0.643,1.789,1.686,-0.271,-0.657,0.164,1.796,0.184,-0.367,1.807,11.462,0.748,1.637,1.796,0.152,38.333,1.778,4.134,0.333,0
-4.76,2.131,1.609,1.282,1.9,1.396,1.364,4.002,1.777,0.843,0.97,37.183,0.235,-0.272,2.072,1.793,-0.555,-0.215,1.507,1.507,0.16,-0.6,1.737,11.677,0.15,0.943,1.499,0.255,44.667,2.061,4.664,0.235,0
-4.76,2.131,1.266,0.962,0.639,1.452,0,4.406,1.501,0.346,0.927,42.015,0.338,-0.699,1.107,1.647,0.199,-0.707,0,1.431,0.145,0.002,0,11.257,0,0,1.435,0.277,40.167,1.073,4.252,0.16,0
-4.76,2.131,1.409,1.159,0.524,1.136,2.755,3.012,1.719,1.036,0.813,26.143,3.454,-0.29,0.527,1.708,0.496,-0.23,3.163,1.18,0.212,0.429,0,11.195,0,0,1.178,0.137,32,0.523,3.99,0.573,0
-4.76,2.131,2.608,1.617,1.067,1.478,0.393,5.158,2.617,2.705,0.856,46.54,0.333,-0.431,1.129,1.921,-0.13,-0.433,0.369,1.498,0.199,-0.163,1.875,12.656,0.315,1.92,1.498,0.17,61.667,1.126,4.553,0.13,0
-4.76,2.131,1.305,0.753,0.96,0.571,1.302,3.088,1.727,1.491,0.869,25.841,1.256,-0.211,1.833,1.719,-0.5,-0.228,2.603,1.014,0.208,-0.006,2.013,11.343,1.19,1.19,0.077,0.146,34.963,0.138,4.134,0.449,0
-4.76,2.131,2.361,1.361,0.65,1.2,0.887,5.553,2.617,2.482,0.903,63.855,1.873,-0.322,0.639,1.837,0.33,-0.304,1.022,1.211,0.147,0.332,1.513,12.478,-0.03,0.607,1.21,0.186,69.5,0.639,4.869,0.008,0
-4.76,2.131,1.291,1.497,2.273,1.836,0.298,2.985,1.724,0.45,0.945,33.013,0.241,-0.637,2.489,1.681,-0.748,-0.674,0.921,1.847,0.215,-0.82,1.754,11.503,0.514,1.277,1.847,0.138,41.333,2.478,4.335,0.241,0
-4.76,2.131,1.082,0.782,0,0.733,0,3.857,1.408,0,0.907,42.53,0.016,-0.738,0,1.535,1.487,-0.488,0,1.663,0.166,0.009,0,11.198,0,0,0.176,0.216,38.508,0,3.922,-0.11,0
